CustomerID,Phone Service,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies
4385-GZQXV,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
6366-ZGQGL,No,DSL,No,No,No,No,No,No
5940-AHUHD,Yes,Fiber optic,No,No,No,No,No,No
6432-TWQLB,Yes,Fiber optic,No,Yes,No,Yes,No,No
4484-GLZOU,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
9512-UIBFX,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
5583-SXDAG,Yes,Fiber optic,No,No,No,No,No,No
3488-PGMQJ,Yes,Fiber optic,No,Yes,No,No,No,No
3580-REOAC,Yes,DSL,No,No,No,No,No,No
7534-BFESC,Yes,Fiber optic,No,No,No,No,No,No
6390-DSAZX,Yes,Fiber optic,Yes,No,No,No,No,No
8098-LLAZX,Yes,Fiber optic,No,No,No,No,Yes,Yes
0265-EDXBD,Yes,Fiber optic,No,No,No,No,No,No
7563-BIUPC,Yes,Fiber optic,No,No,No,No,Yes,No
2321-OMBXY,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
2840-XANRC,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
5020-ZSTTY,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
5804-LEPIM,Yes,Fiber optic,No,No,No,No,No,No
0122-OAHPZ,Yes,Fiber optic,No,No,No,No,No,No
2868-SNELZ,Yes,Fiber optic,No,No,Yes,No,No,No
4322-RCYMT,Yes,DSL,No,Yes,Yes,Yes,No,Yes
6680-NENYN,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
1343-EHPYB,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
2034-GDRCN,Yes,Fiber optic,No,No,No,No,Yes,Yes
0219-YTZUE,Yes,Fiber optic,No,Yes,Yes,No,No,No
0623-IIHUG,No,DSL,Yes,No,No,No,Yes,No
4572-DVCGN,Yes,Fiber optic,No,No,No,No,No,Yes
9057-MSWCO,No,DSL,Yes,No,No,No,No,No
1010-DIAUQ,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
0259-GBZSH,Yes,Fiber optic,No,No,No,No,Yes,No
9601-BRXPO,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
6905-NIQIN,Yes,DSL,No,Yes,No,No,No,No
5167-ZFFMM,Yes,Fiber optic,No,Yes,No,No,No,Yes
4895-TMWIR,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0533-BNWKF,Yes,Fiber optic,No,Yes,Yes,No,No,No
6599-CEBNN,Yes,Fiber optic,No,Yes,No,No,No,No
0979-PHULV,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
4800-VHZKI,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7989-CHGTL,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0334-GDDSO,Yes,Fiber optic,No,Yes,No,No,No,No
0578-SKVMF,Yes,Fiber optic,No,Yes,No,No,No,Yes
5564-NEMQO,Yes,Fiber optic,No,No,Yes,No,No,No
9063-ZGTUY,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2957-LOLHO,Yes,DSL,No,No,No,No,No,No
7752-XUSCI,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
4110-PFEUZ,Yes,Fiber optic,No,No,No,No,No,No
0256-LTHVJ,Yes,Fiber optic,No,No,No,No,No,Yes
0880-TKATG,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
3811-VBYBZ,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
4640-UHDOS,Yes,DSL,No,No,No,No,No,Yes
3583-EKAPL,Yes,DSL,No,No,No,No,No,Yes
9399-APLBT,Yes,Fiber optic,No,Yes,No,No,No,No
2359-KMGLI,Yes,Fiber optic,No,Yes,No,No,No,No
0306-JAELE,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
6227-HWPWX,Yes,Fiber optic,No,No,No,No,No,No
0447-BEMNG,No,DSL,Yes,No,Yes,No,No,Yes
5949-XIKAE,Yes,Fiber optic,No,Yes,No,No,Yes,No
8372-JUXUI,Yes,Fiber optic,No,No,No,No,No,No
0388-EOPEX,Yes,Fiber optic,Yes,No,No,No,No,No
8205-OTCHB,No,DSL,No,Yes,Yes,No,No,Yes
6235-VDHOM,No,DSL,No,Yes,No,No,No,No
7783-YKGDV,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes
5609-CEBID,Yes,Fiber optic,No,Yes,Yes,No,No,Yes
7218-HKQFK,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
4636-QRJKY,Yes,Fiber optic,No,No,No,Yes,No,No
5956-VKDTT,Yes,Fiber optic,No,No,No,No,No,No
9412-GHEEC,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
0257-ZESQC,Yes,Fiber optic,Yes,No,No,No,No,No
6825-UYPFK,Yes,Fiber optic,No,No,No,No,No,No
8397-MVTAZ,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
9282-IZGQK,Yes,Fiber optic,No,No,No,No,No,Yes
1342-JPNKI,Yes,Fiber optic,No,No,No,No,Yes,No
2817-NTQDO,No,DSL,Yes,No,No,Yes,Yes,No
6986-IJDHX,Yes,Fiber optic,No,Yes,No,No,Yes,No
5301-GAUUY,Yes,Fiber optic,No,Yes,No,No,No,No
0939-YAPAF,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
4710-FDUIZ,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
1218-VKFPE,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3627-FHKBK,Yes,Fiber optic,Yes,No,No,No,No,No
2865-TCHJW,Yes,Fiber optic,No,No,Yes,No,Yes,No
5192-EBGOV,Yes,Fiber optic,No,No,No,No,Yes,No
0719-SYFRB,Yes,DSL,Yes,No,Yes,Yes,No,No
3419-SNJJD,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
6543-CPZMK,No,DSL,No,Yes,No,No,No,No
4765-OXPPD,Yes,DSL,Yes,Yes,Yes,Yes,No,No
1009-IRMNA,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4554-YGZIH,Yes,Fiber optic,No,Yes,No,No,No,Yes
5099-BAILX,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7207-RMRDB,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
4913-EHYUI,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
0195-IESCP,Yes,Fiber optic,No,No,No,No,No,Yes
4580-TMHJU,Yes,DSL,No,No,No,No,Yes,No
0970-ETWGE,Yes,Fiber optic,No,No,No,No,Yes,Yes
1626-ERCMM,Yes,Fiber optic,No,No,No,No,Yes,Yes
0887-HJGAR,Yes,DSL,No,No,No,No,No,No
5644-PDMZC,Yes,Fiber optic,No,Yes,No,No,No,Yes
9576-ANLXO,Yes,Fiber optic,No,No,No,No,No,No
2024-BASKD,Yes,Fiber optic,No,No,Yes,No,No,No
4160-AMJTL,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4464-JCOLN,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5650-VDUDS,No,DSL,No,No,No,No,No,No
7538-GWHML,Yes,Fiber optic,No,No,No,No,No,No
3859-CVCET,Yes,DSL,No,No,No,No,No,No
3276-HDUEG,Yes,Fiber optic,No,No,No,No,No,No
0823-HSCDJ,No,DSL,No,Yes,No,No,Yes,Yes
0822-GAVAP,No,DSL,No,No,No,No,No,Yes
1448-PWKYE,Yes,Fiber optic,No,No,No,No,No,Yes
0067-DKWBL,Yes,DSL,Yes,No,No,No,No,No
2276-YDAVZ,Yes,Fiber optic,No,No,No,No,No,No
5896-NPFWW,Yes,DSL,No,No,Yes,No,No,No
7133-VBDCG,Yes,Fiber optic,Yes,Yes,No,No,No,No
1029-QFBEN,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4952-YSOGZ,Yes,Fiber optic,No,No,No,No,No,Yes
1589-AGTLK,Yes,DSL,No,No,No,No,No,No
5244-IRFIH,Yes,Fiber optic,No,No,No,No,Yes,Yes
2684-EIWEO,Yes,Fiber optic,Yes,Yes,Yes,No,No,No
6439-GTPCA,Yes,Fiber optic,No,No,Yes,Yes,No,No
5138-WVKYJ,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
6683-VLCTZ,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
2189-WWOEW,Yes,Fiber optic,No,Yes,No,No,No,Yes
1894-IGFSG,Yes,Fiber optic,No,No,No,No,Yes,Yes
7379-POKDZ,Yes,Fiber optic,No,No,No,No,No,No
0236-HFWSV,Yes,Fiber optic,No,No,No,No,Yes,Yes
3900-AQPHZ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5842-POCOP,Yes,Fiber optic,Yes,No,Yes,No,No,Yes
2037-XJFUP,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
7314-OXENN,Yes,Fiber optic,No,Yes,No,No,No,No
0322-CHQRU,Yes,DSL,No,No,No,No,No,No
4678-DVQEO,Yes,DSL,No,No,No,Yes,No,No
0691-IFBQW,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
3009-JWMPU,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
1450-GALXR,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
3138-BKYAV,Yes,Fiber optic,No,Yes,No,No,Yes,No
4289-DTDKW,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
1820-TQVEV,Yes,Fiber optic,No,No,No,No,No,No
2239-JALAW,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
4853-RULSV,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes
6275-YDUVO,Yes,Fiber optic,No,No,Yes,No,No,Yes
0115-TFERT,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
2311-QYMUQ,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
3643-AHCFP,Yes,Fiber optic,No,No,No,No,Yes,Yes
3104-OWCGK,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
9101-BWFSS,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
9231-ZJYAM,Yes,Fiber optic,No,No,No,No,Yes,No
6982-SSHFK,Yes,DSL,No,No,No,No,No,No
0727-BMPLR,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
1038-ZAGBI,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3027-ZTDHO,Yes,Fiber optic,No,No,No,No,Yes,Yes
2382-BCKQJ,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
2207-NHRJK,Yes,DSL,No,Yes,No,No,No,No
0947-MUGVO,Yes,Fiber optic,No,Yes,No,No,No,No
9944-HKVVB,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
4124-MMETB,Yes,Fiber optic,No,No,No,No,Yes,Yes
3671-SHRSP,Yes,Fiber optic,No,No,Yes,Yes,No,No
3313-QKNKB,Yes,Fiber optic,No,No,No,No,No,Yes
5073-WXOYN,No,DSL,No,Yes,No,No,Yes,Yes
0207-MDKNV,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
9851-KIELU,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
3908-BLSYF,Yes,Fiber optic,No,No,Yes,No,No,Yes
7549-MYGPK,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No
3804-RVTGV,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
9227-LUNBG,No,DSL,No,No,No,No,No,No
4315-MURBD,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes
9734-YWGEX,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
2719-BDAQO,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
0781-LKXBR,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
1907-UBQFC,Yes,Fiber optic,No,Yes,No,No,No,No
6513-EECDB,Yes,Fiber optic,No,No,No,No,No,No
7074-IEVOJ,Yes,Fiber optic,No,Yes,No,No,No,No
9625-QSTYE,Yes,Fiber optic,No,Yes,Yes,No,No,No
4750-ZRXIU,Yes,Fiber optic,No,No,No,No,No,Yes
6400-BWQKW,Yes,Fiber optic,Yes,No,No,No,No,No
6680-WKXRZ,Yes,Fiber optic,No,No,No,No,No,No
7028-DVOIQ,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
4208-UFFGW,Yes,DSL,No,No,No,No,No,No
9448-REEVD,Yes,DSL,No,No,No,No,No,No
9117-SHLZX,Yes,DSL,No,No,No,No,No,No
9889-TMAHG,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes
4541-RMRLG,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3158-MOERK,Yes,Fiber optic,No,No,No,No,Yes,Yes
7294-TMAOP,Yes,Fiber optic,No,No,No,No,Yes,Yes
8919-FYFQZ,No,DSL,No,Yes,No,No,No,No
2834-JRTUA,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
5875-YPQFJ,Yes,Fiber optic,No,No,No,No,No,No
6646-QVXLR,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
8603-IJWDN,Yes,Fiber optic,No,No,No,No,No,Yes
9369-XFEHK,Yes,Fiber optic,No,Yes,No,No,No,No
3842-IYKUE,Yes,Fiber optic,No,Yes,No,Yes,No,No
6641-XRPSU,Yes,Fiber optic,No,No,No,No,No,No
1374-DMZUI,Yes,Fiber optic,No,No,No,No,Yes,Yes
8357-EQXFO,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
1989-PRJHP,Yes,Fiber optic,No,No,No,No,No,No
9524-EGPJC,Yes,Fiber optic,No,No,No,Yes,No,Yes
6993-OHLXR,Yes,Fiber optic,No,No,No,No,No,No
8818-XYFCQ,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
4695-VADHF,Yes,DSL,No,No,Yes,No,No,Yes
3863-IUBJR,Yes,DSL,No,No,No,No,No,Yes
4822-RVYBB,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
8436-BJUMM,Yes,Fiber optic,No,No,No,No,Yes,No
4184-TJFAN,Yes,Fiber optic,Yes,No,No,Yes,Yes,No
4145-UQXUQ,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
9948-YPTDG,Yes,Fiber optic,Yes,Yes,No,No,No,No
1236-WFCDV,Yes,Fiber optic,No,No,No,No,Yes,Yes
4883-QICIH,Yes,Fiber optic,No,No,No,No,No,No
8329-IBCTI,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1271-SJBGZ,No,DSL,No,No,Yes,Yes,No,Yes
5669-SRAIP,No,DSL,No,No,Yes,No,No,Yes
5981-ITEMU,Yes,Fiber optic,No,No,No,No,Yes,Yes
6941-PMGEP,Yes,Fiber optic,No,No,No,No,No,Yes
1624-WOIWJ,Yes,Fiber optic,Yes,No,No,No,Yes,No
2074-GKOWZ,Yes,Fiber optic,No,No,No,No,Yes,Yes
0376-YMCJC,Yes,Fiber optic,No,No,No,Yes,Yes,No
0634-SZPQA,Yes,Fiber optic,Yes,No,No,No,Yes,No
5536-RTPWK,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
6166-ILMNY,Yes,Fiber optic,No,No,No,No,No,No
3097-NNSPB,Yes,DSL,No,Yes,No,No,No,No
0655-RBDUG,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
4361-BKAXE,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
9878-TNQGW,Yes,Fiber optic,No,No,No,No,No,Yes
4441-NIHPT,Yes,Fiber optic,No,No,Yes,No,No,No
8999-BOHSE,Yes,Fiber optic,No,No,No,No,Yes,Yes
7029-RPUAV,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
4607-CHPCA,Yes,Fiber optic,No,No,No,No,Yes,Yes
8824-RWFXJ,Yes,DSL,No,Yes,Yes,No,No,No
9763-PDTKK,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes
7627-JKIAZ,Yes,Fiber optic,No,No,Yes,No,No,No
4081-DYXAV,No,DSL,No,No,No,No,Yes,Yes
8111-SLLHI,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
0927-LCSMG,Yes,Fiber optic,No,No,Yes,No,No,No
8257-RZAHR,Yes,DSL,Yes,No,No,No,Yes,No
5293-WXJAK,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
0841-NULXI,No,DSL,No,No,No,No,No,Yes
7851-WZEKY,Yes,Fiber optic,No,No,No,No,Yes,Yes
8844-TONUD,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
4086-YQSNZ,Yes,Fiber optic,No,No,No,No,Yes,No
5868-CZJDR,No,DSL,No,Yes,No,No,No,No
0135-NMXAP,Yes,Fiber optic,No,Yes,No,No,Yes,No
6270-OMFIW,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
0107-WESLM,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3992-YWPKO,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
0125-LZQXK,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
8399-YNDCH,Yes,DSL,No,No,Yes,No,Yes,No
5673-FSSMF,Yes,DSL,No,No,No,No,No,Yes
1579-KLYDT,Yes,Fiber optic,No,No,Yes,No,Yes,No
3927-NLNRY,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
6358-LYNGM,Yes,Fiber optic,No,No,No,No,No,No
5494-HECPR,Yes,Fiber optic,No,No,No,No,Yes,No
9824-BEMCV,Yes,Fiber optic,No,No,No,No,No,No
1373-ORVIZ,Yes,DSL,No,No,No,Yes,No,Yes
9866-QEVEE,Yes,Fiber optic,No,No,No,No,No,Yes
9897-KXHCM,Yes,Fiber optic,No,No,No,No,No,Yes
7979-CORPM,Yes,Fiber optic,No,Yes,No,No,Yes,No
1618-CFHME,Yes,Fiber optic,No,No,No,No,No,No
3165-HDOEW,Yes,DSL,No,No,No,No,No,No
6581-NQCBA,No,DSL,No,No,No,Yes,Yes,Yes
1689-MRZQR,Yes,Fiber optic,No,No,No,No,Yes,No
5835-BEQEU,Yes,Fiber optic,No,No,No,No,No,No
5565-FILXA,Yes,Fiber optic,No,No,No,No,Yes,Yes
5552-ZNFSJ,Yes,DSL,No,No,No,No,No,No
2223-KAGMX,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7321-PKUYW,Yes,Fiber optic,No,No,No,Yes,Yes,No
2833-SLKDQ,Yes,DSL,No,No,No,No,No,No
7595-EUIVN,Yes,Fiber optic,No,Yes,No,No,No,No
2026-TGDHM,Yes,Fiber optic,No,No,No,No,No,Yes
4030-VPZBD,No,DSL,No,No,No,Yes,No,No
4187-CINZD,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
6818-WOBHJ,Yes,Fiber optic,No,Yes,No,No,No,Yes
2408-TZMJL,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
9134-CEQMF,Yes,Fiber optic,No,No,No,No,Yes,Yes
7993-PYKOF,Yes,Fiber optic,Yes,No,No,No,No,No
5027-XWQHA,Yes,DSL,No,No,No,No,No,No
4566-QVRRW,Yes,DSL,No,No,No,No,No,No
8519-IMDHU,Yes,Fiber optic,No,No,No,No,No,Yes
0201-OAMXR,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
3372-KWFBM,Yes,Fiber optic,No,No,No,No,Yes,No
7831-QGOXH,Yes,Fiber optic,No,No,No,No,Yes,No
6393-WRYZE,Yes,Fiber optic,No,No,No,No,Yes,Yes
6599-RCLCJ,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
9831-BPFRI,Yes,Fiber optic,No,Yes,Yes,Yes,No,No
1725-MIMXW,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0031-PVLZI,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7206-GZCDC,Yes,Fiber optic,No,No,No,No,No,No
4791-QRGMF,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
1768-ZAIFU,No,DSL,No,No,No,No,No,No
4671-LXRDQ,Yes,DSL,No,No,No,No,No,No
1934-SJVJK,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3838-OZURD,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
9269-CQOOL,Yes,DSL,No,No,No,No,Yes,No
2845-HSJCY,Yes,Fiber optic,No,No,Yes,No,No,Yes
1184-PJVDB,Yes,Fiber optic,No,No,No,No,Yes,No
9415-DPEWS,Yes,Fiber optic,No,No,No,Yes,Yes,No
7943-RQCHR,Yes,Fiber optic,No,No,No,No,Yes,Yes
3793-MMFUH,Yes,Fiber optic,No,No,No,No,Yes,Yes
3249-ZPQRG,Yes,Fiber optic,No,Yes,No,No,No,No
2568-BRGYX,Yes,Fiber optic,No,No,No,No,No,No
7721-JXEAW,No,DSL,No,Yes,No,No,No,Yes
7249-WBIYX,Yes,Fiber optic,No,No,No,No,Yes,No
6567-HOOPW,Yes,Fiber optic,No,No,No,No,Yes,No
3164-AALRN,Yes,DSL,No,No,Yes,No,Yes,Yes
3334-CTHOL,Yes,DSL,No,No,No,No,No,No
4704-ERYFC,Yes,Fiber optic,No,No,No,No,No,No
8621-MNIHH,Yes,Fiber optic,No,Yes,Yes,No,No,Yes
0471-LVHGK,Yes,DSL,No,No,Yes,No,Yes,Yes
9518-RWHZL,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
5419-CONWX,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
6240-EURKS,No,DSL,No,No,No,No,No,Yes
6960-HVYXR,Yes,Fiber optic,No,No,No,No,No,No
7024-OHCCK,Yes,Fiber optic,No,No,No,No,Yes,Yes
7861-UVUFT,Yes,Fiber optic,No,No,Yes,No,Yes,No
5357-TZHPP,Yes,Fiber optic,No,No,No,No,No,Yes
0680-DFNNY,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
7767-UXAGJ,Yes,DSL,No,No,No,No,No,No
1571-SAVHK,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
9546-CQJSU,Yes,Fiber optic,No,No,Yes,No,Yes,No
0506-LVNGN,Yes,Fiber optic,No,No,Yes,No,No,No
2951-QOQTK,Yes,Fiber optic,No,No,No,Yes,No,No
3473-XIIIT,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
7893-IXHRQ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2952-QAYZF,Yes,Fiber optic,No,Yes,Yes,No,No,No
4763-PGDPO,Yes,Fiber optic,No,No,No,No,No,No
5394-SVGJV,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
9283-LZQOH,Yes,Fiber optic,No,No,No,No,No,No
7079-QRCBC,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
5469-CTCWN,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
9851-QXEEQ,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
